type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
volume_spike,2024-11-11/2024-11-17,,,,,high,,Absolute Resolutions Corp.,11.0,3.3,3.3,0.000692,,,,,,,,,16.459893842783927
volume_spike,2025-01-27/2025-02-02,,,,,high,,"Upstart Holdings, Inc.",6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2025-01-20/2025-01-26,,,,,high,,Global Lending Services LLC,6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2024-01-01/2024-01-07,,,,,high,,"The CMI Group, Inc.",6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2024-09-30/2024-10-06,,,,,high,,ALLY FINANCIAL INC.,6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2024-01-22/2024-01-28,,,,,high,,CREDIT ACCEPTANCE CORPORATION,6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2024-09-16/2024-09-22,,,,,high,,"Shellpoint Partners, LLC",6.0,1.5,4.0,0.004456,,,,,,,,,16.351054808088044
volume_spike,2023-12-18/2023-12-24,,,,,high,,WELLS FARGO & COMPANY,10.0,3.0,3.33,0.001102,,,,,,,,,16.287818366074575
volume_spike,2024-10-07/2024-10-13,,,,,high,,NCB Management Services Inc.,10.0,3.0,3.33,0.001102,,,,,,,,,16.287818366074575
cluster_shrinking,2024-03-11/2024-03-17,8.0,9.79,15.58,-6.16,high,"xxxx, xxxx xxxx, xx, debt, account",,,,,,,,,,,,,,16.16
volume_spike,2024-10-14/2024-10-20,,,,,high,,"Credit Control, LLC",11.0,3.5,3.14,0.001019,,,,,,,,,16.1318257733739
